"id","region","year","type","capacity_tra_inst_0","conversion_factor_exo_road_const_diesel","conversion_factor_sec_diesel","cost_fix_tra","cost_inv_tra","cost_var_tra","ef_sec_diesel_emi_ch4_f_tra","ef_sec_diesel_emi_co2_f_tra","ef_sec_diesel_emi_n2o_f_tra","lifetime","wacc","bandwidth_type","version","method","source","comment"
1,"DE",2021,"tra_road_const_ice_diesel_0",1000.0,1.0,1.0,1.0,1.0,1.0,"0.66","global_emission_factors.diesel_fuel","2.95",12.0,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First assumption', 'conversion_factor_sec_diesel': 'First assumption', 'cost_fix_tra': 'First assumption', 'cost_inv_tra': 'First assumption', 'cost_var_tra': 'First assumption'}","{'ef_sec_diesel_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_diesel_emi_n2o_f_tra': '8Umwel2023'}","{'ef_sec_diesel_emi_ch4_f_tra': 'Table 37 construction-sector machinery', 'ef_sec_diesel_emi_n2o_f_tra': 'Table 37 construction-sector machinery'}"
2,"DE",2024,"tra_road_const_ice_diesel_0",1000.0,1.0,1.0,1.0,1.0,1.0,"0.66","global_emission_factors.diesel_fuel","2.95",12.0,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First assumption', 'conversion_factor_sec_diesel': 'First assumption', 'cost_fix_tra': 'First assumption', 'cost_inv_tra': 'First assumption', 'cost_var_tra': 'First assumption'}","{'ef_sec_diesel_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_diesel_emi_n2o_f_tra': '8Umwel2023'}","{'ef_sec_diesel_emi_ch4_f_tra': 'Table 37 construction-sector machinery', 'ef_sec_diesel_emi_n2o_f_tra': 'Table 37 construction-sector machinery'}"
3,"DE",2027,"tra_road_const_ice_diesel_0",1000.0,1.0,1.0,1.0,1.0,1.0,"0.66","global_emission_factors.diesel_fuel","2.95",12.0,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First assumption', 'conversion_factor_sec_diesel': 'First assumption', 'cost_fix_tra': 'First assumption', 'cost_inv_tra': 'First assumption', 'cost_var_tra': 'First assumption'}","{'ef_sec_diesel_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_diesel_emi_n2o_f_tra': '8Umwel2023'}","{'ef_sec_diesel_emi_ch4_f_tra': 'Table 37 construction-sector machinery', 'ef_sec_diesel_emi_n2o_f_tra': 'Table 37 construction-sector machinery'}"
4,"DE",2030,"tra_road_const_ice_diesel_0",1000.0,1.0,1.0,1.0,1.0,1.0,"0.66","global_emission_factors.diesel_fuel","2.95",12.0,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First assumption', 'conversion_factor_sec_diesel': 'First assumption', 'cost_fix_tra': 'First assumption', 'cost_inv_tra': 'First assumption', 'cost_var_tra': 'First assumption'}","{'ef_sec_diesel_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_diesel_emi_n2o_f_tra': '8Umwel2023'}","{'ef_sec_diesel_emi_ch4_f_tra': 'Table 37 construction-sector machinery', 'ef_sec_diesel_emi_n2o_f_tra': 'Table 37 construction-sector machinery'}"
5,"DE",2035,"tra_road_const_ice_diesel_0",1000.0,1.0,1.0,1.0,1.0,1.0,"0.66","global_emission_factors.diesel_fuel","2.95",12.0,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First assumption', 'conversion_factor_sec_diesel': 'First assumption', 'cost_fix_tra': 'First assumption', 'cost_inv_tra': 'First assumption', 'cost_var_tra': 'First assumption'}","{'ef_sec_diesel_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_diesel_emi_n2o_f_tra': '8Umwel2023'}","{'ef_sec_diesel_emi_ch4_f_tra': 'Table 37 construction-sector machinery', 'ef_sec_diesel_emi_n2o_f_tra': 'Table 37 construction-sector machinery'}"
6,"DE",2040,"tra_road_const_ice_diesel_0",1000.0,1.0,1.0,1.0,1.0,1.0,"0.66","global_emission_factors.diesel_fuel","2.95",12.0,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First assumption', 'conversion_factor_sec_diesel': 'First assumption', 'cost_fix_tra': 'First assumption', 'cost_inv_tra': 'First assumption', 'cost_var_tra': 'First assumption'}","{'ef_sec_diesel_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_diesel_emi_n2o_f_tra': '8Umwel2023'}","{'ef_sec_diesel_emi_ch4_f_tra': 'Table 37 construction-sector machinery', 'ef_sec_diesel_emi_n2o_f_tra': 'Table 37 construction-sector machinery'}"
7,"DE",2045,"tra_road_const_ice_diesel_0",1000.0,1.0,1.0,1.0,1.0,1.0,"0.66","global_emission_factors.diesel_fuel","2.95",12.0,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First assumption', 'conversion_factor_sec_diesel': 'First assumption', 'cost_fix_tra': 'First assumption', 'cost_inv_tra': 'First assumption', 'cost_var_tra': 'First assumption'}","{'ef_sec_diesel_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_diesel_emi_n2o_f_tra': '8Umwel2023'}","{'ef_sec_diesel_emi_ch4_f_tra': 'Table 37 construction-sector machinery', 'ef_sec_diesel_emi_n2o_f_tra': 'Table 37 construction-sector machinery'}"
8,"DE",2050,"tra_road_const_ice_diesel_0",1000.0,1.0,1.0,1.0,1.0,1.0,"0.66","global_emission_factors.diesel_fuel","2.95",12.0,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First assumption', 'conversion_factor_sec_diesel': 'First assumption', 'cost_fix_tra': 'First assumption', 'cost_inv_tra': 'First assumption', 'cost_var_tra': 'First assumption'}","{'ef_sec_diesel_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_diesel_emi_n2o_f_tra': '8Umwel2023'}","{'ef_sec_diesel_emi_ch4_f_tra': 'Table 37 construction-sector machinery', 'ef_sec_diesel_emi_n2o_f_tra': 'Table 37 construction-sector machinery'}"
9,"DE",2060,"tra_road_const_ice_diesel_0",1000.0,1.0,1.0,1.0,1.0,1.0,"0.66","global_emission_factors.diesel_fuel","2.95",12.0,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First assumption', 'conversion_factor_sec_diesel': 'First assumption', 'cost_fix_tra': 'First assumption', 'cost_inv_tra': 'First assumption', 'cost_var_tra': 'First assumption'}","{'ef_sec_diesel_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_diesel_emi_n2o_f_tra': '8Umwel2023'}","{'ef_sec_diesel_emi_ch4_f_tra': 'Table 37 construction-sector machinery', 'ef_sec_diesel_emi_n2o_f_tra': 'Table 37 construction-sector machinery'}"
10,"DE",2070,"tra_road_const_ice_diesel_0",1000.0,1.0,1.0,1.0,1.0,1.0,"0.66","global_emission_factors.diesel_fuel","2.95",12.0,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First assumption', 'conversion_factor_sec_diesel': 'First assumption', 'cost_fix_tra': 'First assumption', 'cost_inv_tra': 'First assumption', 'cost_var_tra': 'First assumption'}","{'ef_sec_diesel_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_diesel_emi_n2o_f_tra': '8Umwel2023'}","{'ef_sec_diesel_emi_ch4_f_tra': 'Table 37 construction-sector machinery', 'ef_sec_diesel_emi_n2o_f_tra': 'Table 37 construction-sector machinery'}"
