"id","region","year","type","capacity_tra_vehicles_inst","optional_limitations","cost_fix_tra","cost_inv_tra","cost_var","efficiency_tra_electrical","efficiency_tra_service","lifetime","market_share","mileage","occupancy_rate","bandwidth_type","version","method","source","comment"
1,"DE",2021,"tra_rail_train_pass_0",99999.0,"unknown",46776.12,467760.0,3000.0,2820.0,0.1,30.0,60.0,999999.0,81.0,"{'todo': 'due'}","v1","{'conversion_factor': 'todo'}","{'source': 'todo'}","{'comment': 'sources to do'}"
2,"DE",2024,"tra_rail_train_pass_0",99999.0,"unknown",46776.12,467760.0,3000.0,2820.0,0.1,30.0,60.0,999999.0,81.0,"{'todo': 'due'}","v1","{'conversion_factor': 'todo'}","{'source': 'todo'}","{'comment': 'sources to do'}"
3,"DE",2027,"tra_rail_train_pass_0",99999.0,"unknown",46776.12,467760.0,3000.0,2820.0,0.1,30.0,60.0,999999.0,81.0,"{'todo': 'due'}","v1","{'conversion_factor': 'todo'}","{'source': 'todo'}","{'comment': 'sources to do'}"
4,"DE",2030,"tra_rail_train_pass_0",99999.0,"unknown",46776.12,467760.0,3000.0,2820.0,0.1,30.0,60.0,999999.0,81.0,"{'todo': 'due'}","v1","{'conversion_factor': 'todo'}","{'source': 'todo'}","{'comment': 'sources to do'}"
5,"DE",2035,"tra_rail_train_pass_0",99999.0,"unknown",46776.12,467760.0,3000.0,2820.0,0.1,30.0,60.0,999999.0,81.0,"{'todo': 'due'}","v1","{'conversion_factor': 'todo'}","{'source': 'todo'}","{'comment': 'sources to do'}"
6,"DE",2040,"tra_rail_train_pass_0",99999.0,"unknown",46776.12,467760.0,3000.0,2820.0,0.1,30.0,60.0,999999.0,81.0,"{'todo': 'due'}","v1","{'conversion_factor': 'todo'}","{'source': 'todo'}","{'comment': 'sources to do'}"
7,"DE",2045,"tra_rail_train_pass_0",99999.0,"unknown",46776.12,467760.0,3000.0,2820.0,0.1,30.0,60.0,999999.0,81.0,"{'todo': 'due'}","v1","{'conversion_factor': 'todo'}","{'source': 'todo'}","{'comment': 'sources to do'}"
8,"DE",2050,"tra_rail_train_pass_0",99999.0,"unknown",46776.12,467760.0,3000.0,2820.0,0.1,30.0,60.0,999999.0,81.0,"{'todo': 'due'}","v1","{'conversion_factor': 'todo'}","{'source': 'todo'}","{'comment': 'sources to do'}"
9,"DE",2060,"tra_rail_train_pass_0",99999.0,"unknown",46776.12,467760.0,3000.0,2820.0,0.1,30.0,60.0,999999.0,81.0,"{'todo': 'due'}","v1","{'conversion_factor': 'todo'}","{'source': 'todo'}","{'comment': 'sources to do'}"
10,"DE",2070,"tra_rail_train_pass_0",99999.0,"unknown",46776.12,467760.0,3000.0,2820.0,0.1,30.0,60.0,999999.0,81.0,"{'todo': 'due'}","v1","{'conversion_factor': 'todo'}","{'source': 'todo'}","{'comment': 'sources to do'}"
