"id","region","year","type","conversion_factor_iip_aluminum_alumina","conversion_factor_sec_elec_ind","conversion_factor_sec_heavy_fuel_oil","ef_sec_methane_emi_ch4_f_ind","ef_sec_heavy_fuel_oil_emi_ch4_f_ind","ef_sec_methane_emi_co2_f_ind","ef_sec_heavy_fuel_oil_emi_co2_f_ind","ef_sec_methane_emi_n2o_f_ind","ef_sec_heavy_fuel_oil_emi_n2o_f_ind","flow_share_max_sec_hydrogen","capacity_w_abs_new_max","lifetime","capacity_w_inst_0","conversion_factor_sec_methane","conversion_factor_sec_hydrogen","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_aluminum_aluminabayer_0",1.0,0.11,2.6,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0006,0.0042,0.0,0.0,30.0,2.02,2.6,2.6,"{}","v1","{'conversion_factor': 'own calculatuon/analysis based on 7ANL2022 and 7WangEtAl2021', 'capacity_w_abs_new_max': 'own assumption'}","{'conversion_factor': '7ANL2022, 7WangEtAl2021', 'capacity_w_abs_new_max': 'own assumption'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_abs_new_max': 'assumed no investement, investment are considered in furnace that provides process heat for parts production'}"
2,"DE",2024,"ind_aluminum_aluminabayer_0",1.0,0.11,2.6,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0006,0.0042,0.0,0.0,30.0,1.8704,2.6,2.6,"{}","v1","{'conversion_factor': 'own calculatuon/analysis based on 7ANL2022 and 7WangEtAl2021', 'capacity_w_abs_new_max': 'own assumption'}","{'conversion_factor': '7ANL2022, 7WangEtAl2021', 'capacity_w_abs_new_max': 'own assumption'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_abs_new_max': 'assumed no investement, investment are considered in furnace that provides process heat for parts production'}"
3,"DE",2027,"ind_aluminum_aluminabayer_0",1.0,0.11,2.6,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0006,0.0042,0.0,0.0,30.0,1.4963,2.6,2.6,"{}","v1","{'conversion_factor': 'own calculatuon/analysis based on 7ANL2022 and 7WangEtAl2021', 'capacity_w_abs_new_max': 'own assumption'}","{'conversion_factor': '7ANL2022, 7WangEtAl2021', 'capacity_w_abs_new_max': 'own assumption'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_abs_new_max': 'assumed no investement, investment are considered in furnace that provides process heat for parts production'}"
4,"DE",2030,"ind_aluminum_aluminabayer_0",1.0,0.11,2.6,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0006,0.0042,0.0,0.0,30.0,1.1222,2.6,2.6,"{}","v1","{'conversion_factor': 'own calculatuon/analysis based on 7ANL2022 and 7WangEtAl2021', 'capacity_w_abs_new_max': 'own assumption'}","{'conversion_factor': '7ANL2022, 7WangEtAl2021', 'capacity_w_abs_new_max': 'own assumption'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_abs_new_max': 'assumed no investement, investment are considered in furnace that provides process heat for parts production'}"
5,"DE",2035,"ind_aluminum_aluminabayer_0",1.0,0.11,2.6,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0006,0.0042,20.0,0.0,30.0,0.7481,2.6,2.6,"{}","v1","{'conversion_factor': 'own calculatuon/analysis based on 7ANL2022 and 7WangEtAl2021', 'capacity_w_abs_new_max': 'own assumption'}","{'conversion_factor': '7ANL2022, 7WangEtAl2021', 'capacity_w_abs_new_max': 'own assumption'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_abs_new_max': 'assumed no investement, investment are considered in furnace that provides process heat for parts production'}"
6,"DE",2040,"ind_aluminum_aluminabayer_0",1.0,0.11,2.6,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0006,0.0042,20.0,0.0,30.0,0.3741,2.6,2.6,"{}","v1","{'conversion_factor': 'own calculatuon/analysis based on 7ANL2022 and 7WangEtAl2021', 'capacity_w_abs_new_max': 'own assumption'}","{'conversion_factor': '7ANL2022, 7WangEtAl2021', 'capacity_w_abs_new_max': 'own assumption'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_abs_new_max': 'assumed no investement, investment are considered in furnace that provides process heat for parts production'}"
7,"DE",2045,"ind_aluminum_aluminabayer_0",1.0,0.11,2.6,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0006,0.0042,20.0,0.0,30.0,0.0,2.6,2.6,"{}","v1","{'conversion_factor': 'own calculatuon/analysis based on 7ANL2022 and 7WangEtAl2021', 'capacity_w_abs_new_max': 'own assumption'}","{'conversion_factor': '7ANL2022, 7WangEtAl2021', 'capacity_w_abs_new_max': 'own assumption'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_abs_new_max': 'assumed no investement, investment are considered in furnace that provides process heat for parts production'}"
8,"DE",2050,"ind_aluminum_aluminabayer_0",1.0,0.11,2.6,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0006,0.0042,20.0,0.0,30.0,0.0,2.6,2.6,"{}","v1","{'conversion_factor': 'own calculatuon/analysis based on 7ANL2022 and 7WangEtAl2021', 'capacity_w_abs_new_max': 'own assumption'}","{'conversion_factor': '7ANL2022, 7WangEtAl2021', 'capacity_w_abs_new_max': 'own assumption'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_abs_new_max': 'assumed no investement, investment are considered in furnace that provides process heat for parts production'}"
9,"DE",2060,"ind_aluminum_aluminabayer_0",1.0,0.11,2.6,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0006,0.0042,20.0,0.0,30.0,0.0,2.6,2.6,"{}","v1","{'conversion_factor': 'own calculatuon/analysis based on 7ANL2022 and 7WangEtAl2021', 'capacity_w_abs_new_max': 'own assumption'}","{'conversion_factor': '7ANL2022, 7WangEtAl2021', 'capacity_w_abs_new_max': 'own assumption'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_abs_new_max': 'assumed no investement, investment are considered in furnace that provides process heat for parts production'}"
10,"DE",2070,"ind_aluminum_aluminabayer_0",1.0,0.11,2.6,0.0012,0.0044,"global_emission_factors.sec_methane_co2","global_emission_factors.sec_heavy_fuel_oil_co2",0.0006,0.0042,20.0,0.0,30.0,0.0,2.6,2.6,"{}","v1","{'conversion_factor': 'own calculatuon/analysis based on 7ANL2022 and 7WangEtAl2021', 'capacity_w_abs_new_max': 'own assumption'}","{'conversion_factor': '7ANL2022, 7WangEtAl2021', 'capacity_w_abs_new_max': 'own assumption'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_abs_new_max': 'assumed no investement, investment are considered in furnace that provides process heat for parts production'}"
