"id","region","year","cost_var_e","bandwidth_type","version","method","source","comment"
1,"DE",2021,"[213.5, 348.5]","{'cost_var_e': 'range'}","srd_range_draft","{'cost_var_e': 'value extracted from literature source and transport costs of 45-100 $/t, which are specified in the literature source as well are added (in accordance with other publications stating 5-20% transportation costs depending on import country, https://doi.org/10.48550/arXiv.2208.14887), monetary conversion from $2022 to €2021.'}","{'cost_var_e': '5irenaInnovationOutlookRenewable,5pfennigGlobalGISbasedPotential2022'}",""
2,"DE",2024,"[213.5, 348.5]","{'cost_var_e': 'range'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant in accordance with literature source'}","{'cost_var_e': '5irenaInnovationOutlookRenewable,5pfennigGlobalGISbasedPotential2022'}",""
3,"DE",2027,"[213.5, 348.5]","{'cost_var_e': 'range'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant in accordance with literature source'}","{'cost_var_e': '5irenaInnovationOutlookRenewable,5pfennigGlobalGISbasedPotential2022'}",""
4,"DE",2030,"[213.5, 348.5]","{'cost_var_e': 'range'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant in accordance with literature source, monetary conversion from $2022 to €2021.'}","{'cost_var_e': '5irenaInnovationOutlookRenewable,5pfennigGlobalGISbasedPotential2022'}",""
5,"DE",2035,"[213.5, 348.5]","{'cost_var_e': 'range'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant in accordance with literature source'}","{'cost_var_e': '5irenaInnovationOutlookRenewable,5pfennigGlobalGISbasedPotential2022'}",""
6,"DE",2040,"[213.5, 348.5]","{'cost_var_e': 'range'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant in accordance with literature source'}","{'cost_var_e': '5irenaInnovationOutlookRenewable,5pfennigGlobalGISbasedPotential2022'}",""
7,"DE",2045,"[213.5, 348.5]","{'cost_var_e': 'range'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant in accordance with literature source'}","{'cost_var_e': '5irenaInnovationOutlookRenewable,5pfennigGlobalGISbasedPotential2022'}",""
8,"DE",2050,"[213.5, 348.5]","{'cost_var_e': 'range'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant in accordance with literature source, monetary conversion from $2022 to €2021.'}","{'cost_var_e': '5irenaInnovationOutlookRenewable,5pfennigGlobalGISbasedPotential2022'}",""
9,"DE",2060,"[213.5, 348.5]","{'cost_var_e': 'range'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant in accordance with literature source'}","{'cost_var_e': '5irenaInnovationOutlookRenewable,5pfennigGlobalGISbasedPotential2022'}",""
10,"DE",2070,"[213.5, 348.5]","{'cost_var_e': 'range'}","srd_range_draft","{'cost_var_e': 'assumed to remain constant in accordance with literature source'}","{'cost_var_e': '5irenaInnovationOutlookRenewable,5pfennigGlobalGISbasedPotential2022'}",""
